Feature_Type,Model,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Training_Time_Seconds,CNN_Probability_Weight,PCA_Explained_Variance,Confidence_Threshold,Margin_Threshold,CNN_Fusion_Alpha,Correction_Features,Stacking_Sources
PCA_CNN_Deep_Feature,SGD_Linear_SVM,Test,0.6180194588831134,0.6580340095742142,0.5508115538010269,0.537827857923866,0.6416150444638574,0.6180194588831134,0.6014772749002328,0.06985592842102051,,0.9783897995948792,,,,,
PCA_CNN_Deep_Feature_Probability_Fusion,CNN_ML_Prob_Fusion_Logistic_Regression,Validation,0.6491310474401127,0.6223063582622671,0.5747278839502076,0.5876928944016774,0.6467748529721201,0.6491310474401127,0.6468084475346735,0.13633418083190918,0.4,0.9783897995948792,,,,,
PCA_CNN_Deep_Feature_Probability_Fusion,CNN_ML_Prob_Fusion_Logistic_Regression,Test,0.6273490603758497,0.6514854646669155,0.5760651403015412,0.5807447821214045,0.6425484174733118,0.6273490603758497,0.6208000216708824,0.13633418083190918,0.4,0.9783897995948792,,,,,
PCA_CNN_Deep_Feature_Probability_Fusion,CNN_ML_Prob_Fusion_KNN,Validation,0.6538280883043682,0.6285817072150353,0.5790867360315419,0.591568266373128,0.6524584836399374,0.6538280883043682,0.6505137271268533,0.0009601116180419922,0.7000000000000001,0.9783897995948792,,,,,
PCA_CNN_Deep_Feature_Probability_Fusion,CNN_ML_Prob_Fusion_KNN,Test,0.6397441023590564,0.6618121386406831,0.591927461388426,0.5986319302831181,0.6517872511071867,0.6397441023590564,0.6333478714555946,0.0009601116180419922,0.7000000000000001,0.9783897995948792,,,,,
HOG_CNN_Fusion,Logistic_Regression,Validation,0.6237670267731329,0.5916371219923678,0.5442578764126526,0.556707608922258,0.6214112933298371,0.6237670267731329,0.6220457573263743,3.0013680458068848,,,,,,,
HOG_CNN_Fusion,Logistic_Regression,Test,0.6038917766226842,0.6329215717136797,0.549839049548997,0.5528836167402754,0.622706473100657,0.6038917766226842,0.5972339481181004,3.0013680458068848,,,,,,,
HOG_CNN_Fusion,KNN,Validation,0.6009863785814936,0.5866589690668861,0.5220422624759299,0.535544645399341,0.5964994824546339,0.6009863785814936,0.595604140121748,0.00395512580871582,,,,,,,
HOG_CNN_Fusion,KNN,Test,0.5914967346394775,0.6294526513457062,0.5313814082283291,0.53142834133153,0.6085771633163238,0.5914967346394775,0.5785913455367487,0.00395512580871582,,,,,,,
HOG_CNN_Fusion,SGD_Linear_SVM,Validation,0.6312822921559418,0.5824390523210455,0.5307000510492358,0.5407380066098445,0.6344101061955898,0.6312822921559418,0.6303971566246387,27.83224081993103,,,,,,,
HOG_CNN_Fusion,SGD_Linear_SVM,Test,0.6029588164734107,0.6384544701588188,0.533867189113575,0.5278686679121043,0.6283746232723867,0.6029588164734107,0.5906667042140571,27.83224081993103,,,,,,,
HOG_CNN_Fusion_Probability_Fusion,CNN_ML_Prob_Fusion_Logistic_Regression,Validation,0.6460779708783466,0.6099146063681126,0.5729801230213488,0.5835289420246762,0.6432560202813099,0.6460779708783466,0.6433298834116213,3.7544310092926025,0.8,,,,,,
HOG_CNN_Fusion_Probability_Fusion,CNN_ML_Prob_Fusion_Logistic_Regression,Test,0.6289484206317473,0.6474095470701661,0.5808815354766113,0.586582867623511,0.6403004105279315,0.6289484206317473,0.6227294687518187,3.7544310092926025,0.8,,,,,,
