Confidence_Threshold,Margin_Threshold,CNN_Fusion_Alpha,Total_Corrected,Angry_Disgust,Fear_Sad_Neutral,Fear_Surprise,Sad_Neutral,Feature_Type,Model,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
0.45,0.3,1.0,825,33,676,116,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.5,0.05,0.0,631,20,544,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6317622475040632,0.60186570876039,0.6151581194668687,0.6077905194033352,0.6268794628870369,0.6317622475040632,0.6288061854017092
0.5,0.05,0.25,631,20,544,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6317622475040632,0.6018189277272447,0.6150876320624874,0.6077471513335925,0.6267586562809699,0.6317622475040632,0.6287663994856042
0.5,0.05,0.5,631,20,544,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.634548409565823,0.6042118051482059,0.6174151356165588,0.6100914856224469,0.6294699951912778,0.634548409565823,0.6315051667623462
0.5,0.05,0.75,631,20,544,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.635244950081263,0.6042411021261967,0.6180080091070123,0.6103901489288165,0.6304615763938198,0.635244950081263,0.632393897074549
0.5,0.05,1.0,631,20,544,67,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6368702112839564,0.6038803227540062,0.6233535261911358,0.6123122554050761,0.6318563251129744,0.6368702112839564,0.6337416339968114
0.5,0.1,0.0,637,20,548,69,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6317622475040632,0.6018173379591609,0.615225951477722,0.6077939107270661,0.62679317685877,0.6317622475040632,0.6287595907903817
0.5,0.1,0.25,637,20,548,69,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.6317622475040632,0.6017726068831177,0.6151554640733404,0.6077497509881892,0.6266746113073784,0.6317622475040632,0.6287190270989134
0.5,0.1,0.5,637,20,548,69,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.634548409565823,0.6041690456571054,0.617482967627412,0.6100933813052636,0.629389349829939,0.634548409565823,0.6314570147814444
0.5,0.1,0.75,637,20,548,69,0,Step1_Guided_Confusion_Correction,Specialist_ML_Probability_Correction,Validation_Tuning,0.635244950081263,0.6042013258687791,0.6180758411178653,0.6103943467097575,0.6303842034455972,0.635244950081263,0.6323479584497852
